epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4940.27,1.31058,4.30054,1.0856,0.42074,0.02025,0.01808,0.0138,1.35937,4.69966,1.17112,2.35278e-05,2.35278e-05,2.35278e-05
59,5020.89,1.34041,4.41885,1.08539,0.41953,0.02301,0.01927,0.01426,1.36251,4.70016,1.17214,2.29932e-05,2.29932e-05,2.29932e-05
60,5102.16,1.33708,4.29783,1.09899,0.4193,0.02301,0.0198,0.01479,1.36349,4.69196,1.17238,2.24586e-05,2.24586e-05,2.24586e-05
61,5184.39,1.33339,4.329,1.08942,0.40782,0.02458,0.02011,0.01498,1.36753,4.68199,1.17449,2.1924e-05,2.1924e-05,2.1924e-05
62,5267.25,1.35435,4.26794,1.09329,0.4199,0.02514,0.01898,0.01461,1.36911,4.66824,1.17843,2.13894e-05,2.13894e-05,2.13894e-05
63,5347.63,1.34167,4.28102,1.0976,0.41982,0.02403,0.01929,0.0149,1.36768,4.65039,1.17618,2.08548e-05,2.08548e-05,2.08548e-05
64,5428.48,1.33405,4.39127,1.08901,0.43243,0.02157,0.01885,0.01485,1.35863,4.63547,1.17315,2.03202e-05,2.03202e-05,2.03202e-05
65,5509.61,1.32781,4.30987,1.12672,0.38609,0.02403,0.01873,0.0148,1.35596,4.62739,1.16977,1.97856e-05,1.97856e-05,1.97856e-05
66,5590,1.33076,4.2063,1.07702,0.38791,0.02425,0.01954,0.01525,1.3585,4.62758,1.17402,1.9251e-05,1.9251e-05,1.9251e-05
67,5670.45,1.28828,4.21587,1.06957,0.42134,0.02093,0.01935,0.01526,1.35865,4.62326,1.173,1.87164e-05,1.87164e-05,1.87164e-05
68,5750.84,1.30968,4.17191,1.08399,0.4001,0.02402,0.02105,0.01626,1.3664,4.63692,1.18029,1.81818e-05,1.81818e-05,1.81818e-05
69,5831.29,1.34972,4.25239,1.10582,0.40019,0.02402,0.02289,0.01773,1.35975,4.6334,1.17894,1.76472e-05,1.76472e-05,1.76472e-05
70,5912.25,1.33282,4.2272,1.0937,0.40057,0.02404,0.02256,0.01775,1.35298,4.63725,1.18045,1.71126e-05,1.71126e-05,1.71126e-05
71,5992.28,1.29925,4.13236,1.06139,0.38994,0.02506,0.02262,0.01766,1.35693,4.62806,1.18075,1.6578e-05,1.6578e-05,1.6578e-05
72,6072.99,1.30379,4.11387,1.07189,0.38921,0.02507,0.02261,0.01762,1.36279,4.62099,1.17978,1.60434e-05,1.60434e-05,1.60434e-05
73,6153.27,1.35574,4.23007,1.11881,0.40019,0.02507,0.02295,0.01762,1.3598,4.61569,1.17857,1.55088e-05,1.55088e-05,1.55088e-05
74,6235.59,1.28955,4.16117,1.06696,0.40006,0.02507,0.0223,0.01732,1.35692,4.60497,1.17873,1.49742e-05,1.49742e-05,1.49742e-05
75,6316.94,1.33869,4.13167,1.10185,0.40047,0.02507,0.02231,0.01744,1.36254,4.60595,1.18333,1.44396e-05,1.44396e-05,1.44396e-05
76,6398.04,1.3737,4.2835,1.11935,0.39981,0.02479,0.02276,0.01761,1.36335,4.60342,1.1835,1.3905e-05,1.3905e-05,1.3905e-05
77,6480.4,1.30439,4.11649,1.05887,0.40112,0.02479,0.02334,0.01828,1.36468,4.61004,1.18099,1.33704e-05,1.33704e-05,1.33704e-05
78,6563.25,1.31347,4.1402,1.08395,0.40022,0.02479,0.02255,0.0177,1.37071,4.59554,1.17907,1.28358e-05,1.28358e-05,1.28358e-05
79,6658.48,1.30588,4.15496,1.09203,0.40162,0.02479,0.02075,0.01646,1.36828,4.59186,1.17994,1.23012e-05,1.23012e-05,1.23012e-05
80,6740.55,1.31752,4.17332,1.09505,0.4013,0.02479,0.02357,0.01867,1.37366,4.58842,1.1817,1.17666e-05,1.17666e-05,1.17666e-05
81,6822.79,1.32475,4.16023,1.11375,0.41349,0.0235,0.02244,0.01788,1.35823,4.56801,1.17562,1.1232e-05,1.1232e-05,1.1232e-05
82,6904.21,1.29721,4.04687,1.08256,0.41331,0.02346,0.02303,0.01824,1.36144,4.56597,1.17888,1.06974e-05,1.06974e-05,1.06974e-05
83,6988.84,1.31014,4.18246,1.11599,0.41365,0.02346,0.02376,0.01899,1.36322,4.56278,1.1792,1.01628e-05,1.01628e-05,1.01628e-05
84,7070.23,1.34118,4.21271,1.12686,0.41346,0.02441,0.02446,0.01926,1.35545,4.56604,1.17672,9.6282e-06,9.6282e-06,9.6282e-06
85,7150.95,1.30808,4.07525,1.08886,0.41405,0.02332,0.02532,0.02005,1.35835,4.56352,1.17641,9.0936e-06,9.0936e-06,9.0936e-06
86,7231.84,1.28706,4.0681,1.06741,0.41415,0.02311,0.02483,0.01954,1.36263,4.55483,1.17816,8.559e-06,8.559e-06,8.559e-06
87,7312.6,1.33581,4.12027,1.08001,0.41421,0.02334,0.02583,0.02059,1.35689,4.55324,1.17685,8.0244e-06,8.0244e-06,8.0244e-06
88,7392.88,1.3184,4.18188,1.10422,0.4264,0.02447,0.02525,0.02004,1.35417,4.55452,1.17706,7.4898e-06,7.4898e-06,7.4898e-06
89,7473.61,1.32947,4.07384,1.07589,0.42429,0.02451,0.02438,0.01936,1.35149,4.56403,1.17861,6.9552e-06,6.9552e-06,6.9552e-06
90,7554.06,1.30661,4.1224,1.10773,0.40209,0.02451,0.02459,0.01966,1.34885,4.56066,1.17569,6.4206e-06,6.4206e-06,6.4206e-06
91,7633.85,1.24487,3.80491,1.0469,0.41666,0.024,0.02559,0.02054,1.36319,4.50585,1.17364,5.886e-06,5.886e-06,5.886e-06
92,7713.95,1.25938,3.81099,1.06243,0.41833,0.02459,0.02535,0.0202,1.37464,4.47826,1.17977,5.3514e-06,5.3514e-06,5.3514e-06
93,7793.48,1.25166,3.85747,1.05808,0.4406,0.02343,0.02522,0.02009,1.38175,4.4682,1.18261,4.8168e-06,4.8168e-06,4.8168e-06
94,7873.09,1.24972,3.79483,1.04959,0.4397,0.02413,0.02583,0.02055,1.37437,4.45509,1.17734,4.2822e-06,4.2822e-06,4.2822e-06
95,7952.96,1.21738,3.80478,1.03567,0.40246,0.02855,0.02568,0.02035,1.37304,4.4472,1.17897,3.7476e-06,3.7476e-06,3.7476e-06
96,8032.74,1.21806,3.76458,1.0446,0.40404,0.0269,0.02582,0.02047,1.3707,4.447,1.17747,3.213e-06,3.213e-06,3.213e-06
97,8112.14,1.25822,3.80013,1.06312,0.39047,0.02825,0.02554,0.02025,1.36489,4.43855,1.17603,2.6784e-06,2.6784e-06,2.6784e-06
98,8191.78,1.25717,3.77378,1.05303,0.38991,0.02835,0.02622,0.02105,1.36518,4.43358,1.17485,2.1438e-06,2.1438e-06,2.1438e-06
99,8271.59,1.29529,3.79379,1.06661,0.39068,0.0287,0.02613,0.02075,1.36632,4.42893,1.17674,1.6092e-06,1.6092e-06,1.6092e-06
100,8350.92,1.21678,3.78973,1.05442,0.39012,0.02869,0.02812,0.02249,1.36579,4.4239,1.17726,1.0746e-06,1.0746e-06,1.0746e-06
